成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
ウイキョウ油,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ油,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウイキョウ流,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウイキョウ流,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウイキョウ流,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウイキョウ流,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウイキョウ流,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウイキョウ流,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウイキョウ流,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウコン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウコン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウコン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウコン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウコン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウコン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウコン,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウコン,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウコン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウコン流,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウコン流,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウコン流,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウコン流,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウコン流,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウコン流,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウコン流,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウコン流,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウコン流,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウコン流,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウシ胆汁,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウシ胆汁,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウシ胆汁,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウシ胆汁,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウシ胆汁,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウシ胆汁,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウシ胆汁,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウバイ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウバイ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウバイ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウバイ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウバイ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウバイ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウバイ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウバイ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウバイ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウバイ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウフェナマート,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウフェナマート,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウフェナマート,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウフェナマート,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウフェナマート,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウフェナマート,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウフェナマート,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウフェナマート,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウヤク,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウヤク,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウヤク,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウヤク,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウヤク,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウヤク,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウヤク,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウヤク,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウヤク,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウヤク,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウルソデオキシコール酸,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウルソデオキシコール酸,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウルソデオキシコール酸,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウルソデオキシコール酸,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウルソデオキシコール酸,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウルソデオキシコール酸,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウルソデオキシコール酸,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウワウルシ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウワウルシ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウワウルシ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウワウルシ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウワウルシ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウワウルシ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウワウルシ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウワウルシ乾燥,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウワウルシ乾燥,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウワウルシ乾燥,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウワウルシ乾燥,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウワウルシ乾燥,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウワウルシ乾燥,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウワウルシ乾燥,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウンデシレン酸,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウンデシレン酸,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウンデシレン酸,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウンデシレン酸,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウンデシレン酸,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウンデシレン酸,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,ウンデシレン酸亜鉛,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,ウンデシレン酸亜鉛,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,ウンデシレン酸亜鉛,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,ウンデシレン酸亜鉛,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,ウンデシレン酸亜鉛,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,ウンデシレン酸亜鉛,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ウンデシレン酸亜鉛,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エイジツ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,エイジツ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,エイジツ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,エイジツ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エイジツ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,エイジツ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,エイジツ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,エイジツ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
エイジツ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エイジツ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,エコナゾール硝酸塩,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,エコナゾール硝酸塩,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
