製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ロン三宝S錠,三宝製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を水又は温湯で服用してください
15歳以上:1回4錠
7歳~15歳未満:1回2錠
5歳~7歳未満:1回1錠
<用法・用量に関連する注意>
1.用法・用量を必ず守ってください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください",,"アセトアミノフェン
エテンザミド
カンゾウエキス
クロペラスチン塩酸塩
クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロン三宝K顆粒,三宝製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を服用してください
15歳以上:1回1包
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を必ず守ってください",15,"アスピリンアルミニウム
アセトアミノフェン
カンゾウエキス
グアヤコールスルホン酸カリウム
ケイヒ末
ショウキョウ末
ジヒドロコデインリン酸塩
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロン三宝IP顆粒EX,三宝製薬,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を服用してください
大人(15歳以上):1回1包
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を必ず守ってください",15,"イブプロフェン
カンゾウエキス
キキョウ軟エキス
グアヤコールスルホン酸カリウム
ケイヒ末
ショウキョウ末
ジヒドロコデインリン酸塩
ニンジンエキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロン三宝IP顆粒,三宝製薬,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を服用してください
大人(15歳以上):1回1包
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を必ず守ってください",15,"アスコルビン酸
イブプロフェン
カンゾウエキス
クロルフェニラミンマレイン酸塩
ケイヒ末
ショウキョウ末
ジヒドロコデインリン酸塩
チアミン硝化物
リボフラビンリン酸エステルナトリウム
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロン三宝IP錠EX,三宝製薬,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を服用してください
大人(15歳以上):1回4錠
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を必ず守ってください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さるなど思わぬ事故につながります)",15,"イブプロフェン
カンゾウエキス
キキョウ軟エキス
グアヤコールスルホン酸カリウム
ケイヒ末
ショウキョウ末
ジヒドロコデインリン酸塩
ニンジンエキス
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロン三宝IP錠,三宝製薬,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"1日3回、食後なるべく30分以内に次の量を服用してください
大人(15歳以上):1回4錠
15歳未満:服用しないこと
<用法・用量に関連する注意>
用法・用量を必ず守ってください",15,"アスコルビン酸
イブプロフェン
カンゾウエキス
クロルフェニラミンマレイン酸塩
ケイヒ末
ショウキョウ末
ジヒドロコデインリン酸塩
チアミン硝化物
リボフラビンリン酸エステルナトリウム
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ロート補中益気湯錠,大峰堂薬品工業,第2類,風邪薬,体力虚弱で、元気がなく、胃腸のはたらきが衰えて、疲れやすいものの次の諸症:虚弱体質、疲労倦怠、病後の衰弱・術後の衰弱、食欲不振、ねあせ、感冒,"次の量を1日3回食前又は食間に、水又はお湯で服用すること
成人(15歳以上):1回4錠、7歳以上15歳未満:1回3錠、5歳以上7歳未満:1回2錠、5歳未満:服用しないこと
食間とは、食後2~3時間を指す
<用法・用量に関連する注意>
1.用法・用量を厳守すること
2.小児に服用させる場合には、保護者の指導監督のもとに服用させること",15,"オウギ
カンゾウ
サイコ
ショウキョウ
ショウマ
タイソウ
チンピ
トウキ
ニンジン
ビャクジュツ",禁止物質なし,,
レポチリン糖衣,増田製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"1日3回食後なるべく30分以内に服用してください
大人(15歳以上):1回4錠
7歳以上15歳未満:1回2錠
5歳以上7歳未満:1回1錠
5歳未満の乳幼児:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.小児に服用させる場合には、保護者の指導監督のもとに服用させること
3.錠剤の取り出し方(PTPシートの場合)
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",5,"アセトアミノフェン
エテンザミド
クロルフェニラミンマレイン酸塩
チペピジンヒベンズ酸塩
無水カフェイン",禁止物質なし,,
レポチリン昼・夜タイプ,薬王製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"いずれも次の1回分量を1日3回食後なるべく30分以内に服用してください
成人(15歳以上)
朝(だいだい色):1回2個
昼(だいだい色):1回2個
夜(青色):1回2個
7歳以上15歳未満
朝(だいだい色):1回1個
昼(だいだい色):1回1個
夜(青色):1回1個
1日3回服用
(だいだい色カプセル2回)
(青色カプセル1回)
7歳未満:服用しないこと
<用法及び用量に関連する注意>
1.小児に服用させる場合には、保護者の指導監督のもとに服用させること
2.だいだい色カプセルと青色カプセルで成分が異なりますので用法及び用量を厳守してください
3.カプセル剤の取り出し方
添付文書図のようにカプセル剤の入っているPTPシートの凸部を指先で強く押して、裏面のアルミ箔を破り、取り出して服用すること(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながる)",7,"アセトアミノフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジリュウ乾燥エキス
デキストロメトルファン臭化水素酸塩水和物
ヘスペリジン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
レポチリンSカプセル,増田製薬,第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の量を1日3回食後なるべく30分以内に服用してください
大人(15歳以上):1回1カプセル
15歳未満の小児:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.カプセルの取り出し方
添付文書図のようにカプセルの入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
チペピジンヒベンズ酸塩
無水カフェイン",禁止物質なし,,
レポチリンH.D,増田製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の量を1日3回食後なるべく30分以内に服用してください
大人(15歳以上):1回1包
11歳以上15歳未満:1回2/3包
7歳以上11歳未満:1回1/2包
3歳以上7歳未満:1回1/3包
3歳未満の乳幼児:服用しないこと
<用法・用量に関連する注意>
1.定められた用法・用量を厳守すること
2.小児に服用させる場合には、保護者の指導監督のもとに服用させること",3,"アセトアミノフェン
エテンザミド
カンゾウ
クロルフェニラミンマレイン酸塩
ケイヒ
シャクヤク
ショウキョウ
タイソウ
無水カフェイン",禁止物質なし,,
レオスミン漢方内服液,金陽製薬,第2類,風邪薬,発熱、さむけ、頭痛、肩のこわばり・首筋のこわばり、鼻閉、鼻水、のどの痛み,"次の量を食間によく振ってから服用する
成人(15歳以上):1回1本
1日3回服用(食間)
15歳未満:服用しないこと
定められた用法、用量を厳守してください",15,"カッコン
カンゾウ
ケイヒ
シャクヤク
ショウキョウ
タイソウ
マオウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルル内服液<麻黄湯>,田村薬品工業,第2類,風邪薬,体力充実して、かぜのひきはじめで、さむけがして発熱、頭痛があり、せきが出て身体のふしぶしが痛く汗が出ていないものの次の諸症:感冒、鼻かぜ、気管支炎、鼻づまり,"大人(15歳以上):1回1本
1日3回服用
食間に服用してください
服用前によく振ってから服用してください
15歳未満:服用しないでください
食間とは食事と食事の間で、前の食事から2~3時間後のことです
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本品は1回1本飲みきりです",15,"カンゾウ
キョウニン
ケイヒ
マオウ",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルゴールド細粒,ダイト,指定第2類,風邪薬,のどの痛み、発熱、鼻水、鼻づまり、せき、たん、悪寒、頭痛、くしゃみ、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回1包
11歳以上15歳未満:1回2/3包
7歳以上11歳未満:1回1/2包
3歳以上7歳未満:1回1/3包
1日3回服用
食後なるべく30分以内に服用してください
3歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.3歳以上の幼小児に服用させる場合には、保護者の指導監督のもとに服用させてください",3,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
デキストロメトルファン臭化水素酸塩水和物
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルカゼブロックα,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回3錠
1日3回服用
食後なるべく30分以内
15歳未満:服用しないでください
<用法・用量に関連する注意>
用法・用量を厳守してください",15,"イブプロフェン
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックTR,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、鼻水、鼻づまり、くしゃみ、せき、たん、発熱、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2カプセル
1日2回服用
朝夕食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.カプセルの取り出し方
添付文書図のようにカプセルの入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
グリチルリチン酸
デキストロメトルファン臭化水素酸塩水和物
ヨウ化イソプロパミド
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックNXプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,鼻水、鼻づまり、のどの痛み、せき、たん、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ヘスペリジン
ヨウ化イソプロパミド
リボフラビン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックNX,第一三共ヘルスケア,指定第2類,風邪薬,鼻水、鼻づまり、のどの痛み、せき、たん、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
ブロムヘキシン塩酸塩
ベラドンナ総アルカロイド
ベンフォチアミン
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックIBエース,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、鼻水、鼻づまり、くしゃみ、せき、たん、発熱、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ヘスペリジン
ベンフォチアミン
ヨウ化イソプロパミド
リボフラビン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックFXa,第一三共ヘルスケア,指定第2類,風邪薬,発熱、悪寒、頭痛、のどの痛み、鼻水、鼻づまり、せき、たん、関節の痛み、筋肉の痛み、くしゃみ,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
7歳以上15歳未満:1回1錠
1日3回服用
食後なるべく30分以内に服用してください
7歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.7歳以上の小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",7,"アスコルビン酸
アセトアミノフェン
イソプロピルアンチピリン
クレマスチンフマル酸塩
グリチルリチン酸
ショウキョウ末
チペピジンヒベンズ酸塩
ノスカピン
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックEX顆粒,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回1包
1日3回、食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
用法・用量を厳守してください",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックEXプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回3錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ベンフォチアミン
リボフラビン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックEX,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
1日3回、食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックCXプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,せき、たん、のどの痛み、鼻水、鼻づまり、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回3錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
クロルフェニラミンマレイン酸塩
グリチルリチン酸
ジヒドロコデインリン酸塩
ノスカピン
ベンフォチアミン
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルルアタックCX,第一三共ヘルスケア,指定第2類,風邪薬,せき、たん、のどの痛み、鼻水、鼻づまり、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人(15歳以上):1回2錠
1日3回服用
食後なるべく30分以内に服用してください
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.錠剤の取り出し方
添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
グリチルリチン酸
ジヒドロコデインリン酸塩
ノスカピン
ベンフォチアミン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルグナン錠EXαプレミアム,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく30分以内に水又はぬるま湯で服用してください
成人(15歳以上):1回3錠
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
トラネキサム酸
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルグナン錠EXα,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を、水又はぬるま湯で食後なるべく30分以内に服用してください
成人(15歳以上):1回3錠
1日3回服用
15歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
カンゾウ乾燥エキス
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルキノンせき止め錠,小林薬品工業,指定第2類,風邪薬,せき、たん,"次の1回量を、1日3回食後に水又はぬるま湯で服用してください
成人(15歳以上):1回3錠
12歳~14歳:1回2錠
12歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",12,"カンゾウ乾燥エキス
キキョウ乾燥エキス末
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
セネガ乾燥エキス
ノスカピン
ブロムヘキシン塩酸塩
無水カフェイン
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルキノンせき止め液EX,小林薬品工業,指定第2類,風邪薬,せき、たん,"成人(15歳以上):1回10mL
12歳~14歳:1回6mL
1日3回食後及び必要な場合には就寝前に服用してください
また、約4時間の間隔をおいていただければ1日6回まで服用できます
(添付の目盛付コップではかり服用してください)
12歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.本剤は生薬エキスを含有していますので、まれに沈でんを生じることがありますが効果には影響ありませんよく振ってから服用してください",12,"キキョウ流エキス
ジヒドロコデインリン酸塩
バクモンドウ流エキス
ブロムヘキシン塩酸塩
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルキノンせき止め液,小林薬品工業,指定第2類,風邪薬,せき、たん,"成人(15歳以上):1回10mL
12歳~14歳:1回6mL
1日3回食後及び必要な場合には就寝前に服用してください
また、約4時間の間隔をおいていただければ1日6回まで服用できます
(添付の目盛付コップではかり服用してください)
12歳未満:服用しないでください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.小児に服用させる場合には、保護者の指導監督のもとに服用させてください
3.本剤は生薬エキスを含有していますので、まれに沈でんを生じることがありますが効果には影響ありませんよく振ってから服用してください",12,"キキョウ流エキス
ジヒドロコデインリン酸塩
セネガ流エキス
ブロムヘキシン塩酸塩
無水カフェイン
d−クロルフェニラミンマレイン酸塩
dl−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
ルキノンエースαネオ,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく30分以内に水又はぬるま湯で服用してください
成人(15歳以上):1回3錠
1日3回服用
15歳未満:服用しないこと
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.添付文書図のように錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります)",15,"イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
トラネキサム酸
リボフラビン
無水カフェイン
dl−メチルエフェドリン塩酸塩
L−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する
