成分名,副作用レベル,副作用症状,禁忌条件,出典
ブシ末,中,小島香附子末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島香附子末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
メキタジン,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
キキョウ末,中,ウチダのキキョウ末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのキキョウ末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
硫酸銅,中,発疹、胃、肝,,PMDA iyakuSearch
ポリミキシンB硫酸塩,中,発疹,,PMDA iyakuSearch
液状フェノール,中,発疹,,PMDA iyakuSearch
アンモニア,中,アンモニア水恵美須 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 アンモニア水恵美須 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ウフェナマート,中,コンベック軟膏5%/コンベッククリーム5% 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 コンベック軟膏5%/コンベッククリーム5% 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類,,PMDA iyakuSearch
次硝酸ビスマス,高,吐、下痢、肝,,PMDA iyakuSearch
硫酸アルミニウムカリウム,中,発疹、胃,,PMDA iyakuSearch
カルプロニウム塩化物水和物,中,吐,,PMDA iyakuSearch
カルプロニウム塩化物,中,吐,,PMDA iyakuSearch
ガイヨウ,中,トチモトのガイヨウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのガイヨウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
コウイ,中,インチンコウダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 インチンコウダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
キンギンカ,中,高砂キンギンカM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂キンギンカM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ジュウヤク,中,小島十薬M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島十薬M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
カロコン,中,カロコンダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 カロコンダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ゴボウシ,中,ツムラの生薬ゴボウシ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ツムラの生薬ゴボウシ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
クジン,中,クジンダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 クジンダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
テンモンドウ,中,ツムラの生薬テンモンドウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ツムラの生薬テンモンドウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性,,PMDA iyakuSearch
オウヒ,中,トチモトのオウヒ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのオウヒ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ボクソク,中,トチモトのボクソク 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのボクソク 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
マシニン,中,高砂マシニンM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂マシニンM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
ゴマ,中,ゴマ油 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ゴマ油 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の性状 4,,PMDA iyakuSearch
センタイ,中,高砂センタイM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂センタイM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
クジン末,中,ウチダのクジン末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのクジン末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
カシュウ,中,ツムラの生薬カシュウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ツムラの生薬カシュウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
シツリシ,中,高砂シツリシM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂シツリシM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
サンシュユ,中,小島山茱萸M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島山茱萸M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
サンヤク,中,小島山薬M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島山薬M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
ニンドウ,中,ツムラの生薬ニンドウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ツムラの生薬ニンドウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
ブシ,中,コウブシダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 コウブシダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ピリドキサールリン酸エステル水和物,高,発疹、吐、下痢、肝,,PMDA iyakuSearch
カラミン,中,発疹,,PMDA iyakuSearch
ジメチルイソプロピルアズレン,中,アズノール軟膏0.033% 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 アズノール軟膏0.033% 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 2.禁忌,,PMDA iyakuSearch
バレイショデンプン,中,バレイショデンプン 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 バレイショデンプン 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
カルシフェロール,中,発疹、吐、下痢、肝,,PMDA iyakuSearch
メトカルバモール,中,眠気、発疹、胃、吐、めまい,,PMDA iyakuSearch
イレイセン,中,イレイセンダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 イレイセンダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
リュウタン,中,小島龍胆M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島龍胆M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
テンナンショウ,中,トチモトのテンナンショウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのテンナンショウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性,,PMDA iyakuSearch
ソウハクヒ,中,ソウハクヒダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ソウハクヒダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
トウドクカツ,中,高砂トウドクカツM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂トウドクカツM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
サンキライ,中,高砂サンキライM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂サンキライM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
フラボキサート塩酸塩,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
牛黄,中,ウチダのゴオウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのゴオウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
