製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ルルカゼブロックα,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回３錠
１日３回服用
食後なるべく３０分以内
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
用法・用量を厳守してください",15,"イブプロフェン
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＴＲ,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、鼻水、鼻づまり、くしゃみ、せき、たん、発熱、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２カプセル
１日２回服用
朝夕食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．カプセルの取り出し方
添付文書図のようにカプセルの入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
グリチルリチン酸
デキストロメトルファン臭化水素酸塩水和物
ヨウ化イソプロパミド
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＮＸプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,鼻水、鼻づまり、のどの痛み、せき、たん、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ヘスペリジン
ヨウ化イソプロパミド
リボフラビン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＮＸ,第一三共ヘルスケア,指定第2類,風邪薬,鼻水、鼻づまり、のどの痛み、せき、たん、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
ブロムヘキシン塩酸塩
ベラドンナ総アルカロイド
ベンフォチアミン
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＩＢエース,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、鼻水、鼻づまり、くしゃみ、せき、たん、発熱、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ヘスペリジン
ベンフォチアミン
ヨウ化イソプロパミド
リボフラビン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＦＸａ,第一三共ヘルスケア,指定第2類,風邪薬,発熱、悪寒、頭痛、のどの痛み、鼻水、鼻づまり、せき、たん、関節の痛み、筋肉の痛み、くしゃみ,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
７歳以上１５歳未満：１回１錠
１日３回服用
食後なるべく３０分以内に服用してください
７歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．７歳以上の小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",7,"アスコルビン酸
アセトアミノフェン
イソプロピルアンチピリン
クレマスチンフマル酸塩
グリチルリチン酸
ショウキョウ末
チペピジンヒベンズ酸塩
ノスカピン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＥＸ顆粒,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回１包
１日３回、食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
用法・用量を厳守してください",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＥＸプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回３錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
ジヒドロコデインリン酸塩
トラネキサム酸
ベンフォチアミン
リボフラビン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＥＸ,第一三共ヘルスケア,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
１日３回、食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＣＸプレミアム,第一三共ヘルスケア,指定第2類,風邪薬,せき、たん、のどの痛み、鼻水、鼻づまり、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回３錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
クロルフェニラミンマレイン酸塩
グリチルリチン酸
ジヒドロコデインリン酸塩
ノスカピン
ベンフォチアミン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩
Ｌ−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルルアタックＣＸ,第一三共ヘルスケア,指定第2類,風邪薬,せき、たん、のどの痛み、鼻水、鼻づまり、発熱、悪寒、くしゃみ、頭痛、関節の痛み、筋肉の痛み,"次の量を水又はお湯で服用してください
成人（１５歳以上）：１回２錠
１日３回服用
食後なるべく３０分以内に服用してください
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
グリチルリチン酸
ジヒドロコデインリン酸塩
ノスカピン
ベンフォチアミン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩
Ｌ−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルグナン錠ＥＸαプレミアム,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく３０分以内に水又はぬるま湯で服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
トラネキサム酸
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩
Ｌ−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルグナン錠ＥＸα,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を、水又はぬるま湯で食後なるべく３０分以内に服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
カンゾウ乾燥エキス
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンせき止め錠,小林薬品工業,指定第2類,風邪薬,せき、たん,"次の１回量を、１日３回食後に水又はぬるま湯で服用してください
成人（１５歳以上）：１回３錠
１２歳～１４歳：１回２錠
１２歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",12,"カンゾウ乾燥エキス
キキョウ乾燥エキス末
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
セネガ乾燥エキス
ノスカピン
ブロムヘキシン塩酸塩
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンせき止め液ＥＸ,小林薬品工業,指定第2類,風邪薬,せき、たん,"成人（１５歳以上）：１回１０ｍＬ
１２歳～１４歳：１回６ｍＬ
１日３回食後及び必要な場合には就寝前に服用してください
また、約４時間の間隔をおいていただければ１日６回まで服用できます
（添付の目盛付コップではかり服用してください）
１２歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．本剤は生薬エキスを含有していますので、まれに沈でんを生じることがありますが効果には影響ありませんよく振ってから服用してください",12,"キキョウ流エキス
ジヒドロコデインリン酸塩
バクモンドウ流エキス
ブロムヘキシン塩酸塩
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンせき止め液,小林薬品工業,指定第2類,風邪薬,せき、たん,"成人（１５歳以上）：１回１０ｍＬ
１２歳～１４歳：１回６ｍＬ
１日３回食後及び必要な場合には就寝前に服用してください
また、約４時間の間隔をおいていただければ１日６回まで服用できます
（添付の目盛付コップではかり服用してください）
１２歳未満：服用しないでください
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．本剤は生薬エキスを含有していますので、まれに沈でんを生じることがありますが効果には影響ありませんよく振ってから服用してください",12,"キキョウ流エキス
ジヒドロコデインリン酸塩
セネガ流エキス
ブロムヘキシン塩酸塩
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンエースαネオ,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、せき、たん、鼻水、鼻づまり、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく３０分以内に水又はぬるま湯で服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
カンゾウ乾燥エキス
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
トラネキサム酸
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩
Ｌ−カルボシステイン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンエースα,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の痛み,"次の量を、水又はぬるま湯で食後なるべく３０分以内に服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",15,"イブプロフェン
カンゾウ乾燥エキス
ジヒドロコデインリン酸塩
チアミン硝化物
トラネキサム酸
ブロムヘキシン塩酸塩
リボフラビン
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンＳα,小林薬品工業,指定第2類,風邪薬,のどの痛み、発熱、悪寒（発熱によるさむけ,"次の量を食後なるべく３０分以内に水又はぬるま湯で服用してください
成人（１５歳以上）：１回３錠
１１歳～１４歳：１回２錠
５歳～１０歳：１回１錠
１日３回服用
５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",5,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
チアミンジスルフィド
デキストロメトルファン臭化水素酸塩水和物
ブロムヘキシン塩酸塩
ヘスペリジン
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ルキノンＫＢ錠,小林薬品工業,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の量を、食後なるべく３０分以内に水又はぬるま湯で服用してください
成人（１５歳以上）：１回３錠
１２歳～１４歳：１回２錠
１日３回服用
１２歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",12,"アセトアミノフェン
カンゾウ乾燥エキス
クレマスチンフマル酸塩
ジヒドロコデインリン酸塩
チアミンジスルフィド
ブロムヘキシン塩酸塩
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リリーフゴールド,大協薬品工業,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"いずれも、１日３回食後なるべく３０分以内に服用してください
１５歳以上：１回２カプセル
７歳以上１５歳未満：１回１カプセル
７歳未満：服用しないこと
＜用法及び用量に関連する注意＞
１．用法及び用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．カプセルの取り出し方
添付文書図のようにカプセルの入っているＰＴＰシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",7,"アセトアミノフェン
エテンザミド
クロルフェニラミンマレイン酸塩
ゲンチアナエキス
ゴオウ
デキストロメトルファン臭化水素酸塩水和物
ノスカピン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リハビット,大峰堂薬品工業,第2類,風邪薬,体力虚弱で、元気がなく、胃腸のはたらきが衰えて、疲れやすいものの次の諸症：虚弱体質、疲労倦怠、病後の衰弱・術後の衰弱、食欲不振、ねあせ、感冒,"次の量を１日２回食前又は食間に、水又はお湯で服用すること
食間とは、食後２～３時間を指す
成人（１５歳以上）：１回４錠
７歳以上１５歳未満：１回３錠
５歳以上７歳未満：１回２錠
５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること",5,"オウギ
カンゾウ
サイコ
ショウキョウ
ショウマ
タイソウ
チンピ
トウキ
ニンジン
ビャクジュツ",禁止物質なし,,
リココデ顆粒－ＳⅡ,ゼネル薬工粉河,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒（発熱によるさむけ,"大人（１５歳以上）１回１包、１２歳以上１５歳未満１回２／３包、１日３回、食後なるべく３０分以内に服用してください
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．１２歳未満の小児には服用させないでください",,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
桂枝湯エキス
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リココデ顆粒－Ｓ,ゼネル薬工粉河,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"１５歳以上：１回１包
１２歳以上１５歳未満：１回２／３包
１日３回食後なるべく３０分以内に服用してください
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．１２歳未満の小児には服用させないでください",,"アセトアミノフェン
カフェイン水和物
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
桂枝湯乾燥エキス
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リココデせき止めＳ液,ゼネル薬工粉河,指定第2類,風邪薬,せき、たん,"大人（１５歳以上）１回１０ｍＬ１日３回服用してください
なお場合により１日６回まで服用しても差し支えありませんが、この場合は服用間隔を４時間以上おいてください（計量容器を添付する）
１．用法・用量を厳守してください
２．１５歳未満の小児には服用させないでください",,"クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リココデせきトローチ,ゼネル薬工粉河,第2類,風邪薬,"のどの炎症による声がれ・のどの痛み・のどのはれ・のどのあれ・のどの不快感
せき、たん","１５歳以上１回１錠１日６回、１１歳以上１５歳未満１回１錠１日６回、８歳以上１１歳未満１回１錠１日４回、５歳以上８歳未満１回１錠１日３回、何れも口中に含み、かまずにゆっくり溶かすものとする
服用間隔は２時間以上おくこと
尚小児（５歳～１１歳）の場合は４時間以上おくこと
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．５歳未満には服用させないでください
４．錠剤の取り出し方
添付文書図のように錠剤の入っているＰＴＰシートの凸部を指先で強く押して、裏面のアルミ箔を破り、取り出して服用してください（誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります）",,"グアヤコールスルホン酸カリウム
セチルピリジニウム塩化物水和物
デキストロメトルファンフェノールフタリン塩",禁止物質なし,,
リココデシロップ,ゼネル薬工粉河,指定第2類,風邪薬,せき、たん,"１回１５歳以上５ｍＬ、１２歳以上１５歳未満３ｍＬ、１日４回服用
また場合によっては１日６回まで服用することとしても差し支えないが、１日５～６回まで服用する場合には原則として約４時間の間隔をおいて服用する
（計量容器を添付する）
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．１２歳未満の小児には服用させないでください
４．本剤は生薬成分を配合した内服液ですので、まれに沈殿を生じることがありますよく振ってから服用してください",,"キキョウ流エキス
クロルフェニラミンマレイン酸塩
グアヤコールスルホン酸カリウム
シャゼンソウ流エキス
ジヒドロコデインリン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リココデＳクリア,ゼネル薬工粉河,第2類,風邪薬,せき、たん,"大人（１５歳以上）１回１包、１１歳以上１５歳未満１回２／３包、８歳以上１１歳未満１回１／２包、１日３回服用する
なお、服用間隔は４時間以上おくこと
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること
３．８歳未満の小児は服用しないこと",8,"チペピジンヒベンズ酸塩
Ｌ−カルボシステイン",禁止物質なし,,
リココデＳＰ錠,ゼネル薬工粉河,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"大人（１５歳以上）１回３錠、１２歳以上１５歳未満１回２錠、１日３回食後なるべく３０分以内に服用する
１．用法・用量を厳守すること
２．小児に服用させる場合には保護者の指導監督のもとに服用させること
３．１２歳未満の小児は服用しないこと",12,"アセトアミノフェン
クロルフェニラミンマレイン酸塩
ジヒドロコデインリン酸塩
ヘスペリジン
ベンフォチアミン
リボフラビン
無水カフェイン
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
リクレスかぜＥＶ錠,ジェーピーエス製薬,指定第2類,風邪薬,鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の痛み,"次の量を食後なるべく３０分以内に水又は白湯にて服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
用法・用量を厳守してください",15,"アスコルビン酸
イブプロフェン
ジヒドロコデインリン酸塩
チアミン硝化物
無水カフェイン
ｄ−クロルフェニラミンマレイン酸塩
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
